Variables: 56, expected states 16777216
Computed state count: 547187354725515260
Start backward reachability: (states=1, size=63)
 >> (progress=92.70%%, states=1271508156547072, size=726)
 >> (progress=92.71%%, states=1275651726245888, size=623)
 >> (progress=92.71%%, states=1276192892125184, size=647)
 >> (progress=92.71%%, states=1276463475064832, size=666)
 >> (progress=92.71%%, states=1277004640944128, size=672)
 >> (progress=92.71%%, states=1277275223883776, size=664)
 >> (progress=92.71%%, states=1277681098293248, size=706)
 >> (progress=92.71%%, states=1278695784316928, size=711)
 >> (progress=92.71%%, states=1280725156364288, size=732)
 >> (progress=92.71%%, states=1282416299737088, size=671)
 >> (progress=93.21%%, states=1931585037271040, size=663)
 >> (progress=93.22%%, states=1945114184253440, size=661)
 >> (progress=93.22%%, states=1950525843046400, size=631)
 >> (progress=93.22%%, states=1951144318337024, size=662)
 >> (progress=93.22%%, states=1951453555982336, size=644)
 >> (progress=93.22%%, states=1952381268918272, size=643)
 >> (progress=93.22%%, states=1953308981854208, size=641)
 >> (progress=93.22%%, states=1954236694790144, size=634)
 >> (progress=93.23%%, states=1964132299440128, size=654)
 >> (progress=93.23%%, states=1966606200602624, size=673)
 >> (progress=93.23%%, states=1972790953508864, size=669)
 >> (progress=93.24%%, states=1985160459321344, size=675)
 >> (progress=93.24%%, states=1991345212227584, size=667)
 >> (progress=93.25%%, states=2000622341586944, size=713)
 >> (progress=93.26%%, states=2023815164985344, size=716)
 >> (progress=93.30%%, states=2077931752914944, size=734)
 >> (progress=93.30%%, states=2085662694047744, size=778)
 >> (progress=93.30%%, states=2092886292168704, size=884)
 >> (progress=93.30%%, states=2092922530955264, size=938)
 >> (progress=93.30%%, states=2092940650348544, size=956)
 >> (progress=93.30%%, states=2093016147820544, size=974)
 >> (progress=93.30%%, states=2093053896556544, size=926)
 >> (progress=93.30%%, states=2093393635180544, size=774)
 >> (progress=93.31%%, states=2104216952766464, size=784)
 >> (progress=93.32%%, states=2117359552692224, size=800)
 >> (progress=93.32%%, states=2119988072677376, size=841)
 >> (progress=93.32%%, states=2121302332669952, size=847)
 >> (progress=93.32%%, states=2121959462666240, size=833)
 >> (progress=93.32%%, states=2123109440159744, size=859)
 >> (progress=93.32%%, states=2125573677645824, size=843)
 >> (progress=93.33%%, states=2130502152617984, size=776)
 >> (progress=93.33%%, states=2131661793787904, size=853)
 >> (progress=93.33%%, states=2132241614372864, size=859)
 >> (progress=93.33%%, states=2132531524665344, size=841)
 >> (progress=93.33%%, states=2133401255542784, size=825)
 >> (progress=93.33%%, states=2135140717297664, size=780)
 >> (progress=93.34%%, states=2152148787789824, size=862)
 >> (progress=93.34%%, states=2154313451307008, size=842)
 >> (progress=93.34%%, states=2163899818311680, size=848)
 >> (progress=93.35%%, states=2168693001814016, size=834)
 >> (progress=93.35%%, states=2177081072943104, size=847)
 >> (progress=93.36%%, states=2195055511076864, size=831)
 >> (progress=93.38%%, states=2231004387344384, size=784)
 >> (progress=93.38%%, states=2232550575570944, size=806)
 >> (progress=93.38%%, states=2233995295195136, size=856)
 >> (progress=93.38%%, states=2234002542952448, size=883)
 >> (progress=93.38%%, states=2234006166831104, size=895)
 >> (progress=93.38%%, states=2234021266325504, size=904)
 >> (progress=93.38%%, states=2234028816072704, size=880)
 >> (progress=93.38%%, states=2234096763797504, size=796)
 >> (progress=93.38%%, states=2235642952024064, size=800)
 >> (progress=93.38%%, states=2237962234363904, size=808)
 >> (progress=93.38%%, states=2238426090831872, size=846)
 >> (progress=93.38%%, states=2238658019065856, size=849)
 >> (progress=93.38%%, states=2238773983182848, size=842)
 >> (progress=93.38%%, states=2238976920387584, size=842)
